conservation_practice,concern,value
Conservation Cover (IRA),Pesticides Transported to Groundwater,2
Access Control ,Pesticides Transported to Groundwater,0
Wetland Restoration (IRA),Pesticides Transported to Groundwater,1
Watering Facility ,Pesticides Transported to Groundwater,0
Riparian Forest Buffer (IRA),Pesticides Transported to Groundwater,1
Nutrient Management (IRA),Pesticides Transported to Groundwater,0
Pest Management Conservation System ,Pesticides Transported to Groundwater,5
Structures for Wildlife ,Pesticides Transported to Groundwater,0
Stream Crossing ,Pesticides Transported to Groundwater,0
Structure for Water Control ,Pesticides Transported to Groundwater,0
Stream Habitat Improvement and Management ,Pesticides Transported to Groundwater,0
Grade Stabilization Structure ,Pesticides Transported to Groundwater,0
Riparian Herbaceous Cover (IRA),Pesticides Transported to Groundwater,2
Aquatic Organism Passage ,Pesticides Transported to Groundwater,0
Wetland Creation ,Pesticides Transported to Groundwater,1
Wetland Enhancement ,Pesticides Transported to Groundwater,1
Wetland Wildlife Habitat Management ,Pesticides Transported to Groundwater,0
Shallow Water Development and Management ,Pesticides Transported to Groundwater,0
Restoration of Rare and Declining Habitats,Pesticides Transported to Groundwater,0
Fence ,"Petroleum, Heavy Metals and Other Pollutants Transported to Surface Water",0
Streambank and Shoreline Protection ,"Petroleum, Heavy Metals and Other Pollutants Transported to Surface Water",0
Heavy Use Area Protection ,"Petroleum, Heavy Metals and Other Pollutants Transported to Surface Water",0
Livestock Pipeline ,"Petroleum, Heavy Metals and Other Pollutants Transported to Surface Water",0
Prescribed Grazing (IRA),"Petroleum, Heavy Metals and Other Pollutants Transported to Surface Water",0
Cover Crop (IRA),"Petroleum, Heavy Metals and Other Pollutants Transported to Surface Water",0
Tree/Shrub Establishment (IRA),"Petroleum, Heavy Metals and Other Pollutants Transported to Surface Water",1
Brush Management ,"Petroleum, Heavy Metals and Other Pollutants Transported to Surface Water",0
Dike and Levee ,"Petroleum, Heavy Metals and Other Pollutants Transported to Surface Water",0
Herbaceous Weed Treatment ,"Petroleum, Heavy Metals and Other Pollutants Transported to Surface Water",0
Residue and Tillage Mgmt (No Till) (IRA),"Petroleum, Heavy Metals and Other Pollutants Transported to Surface Water",0
Residue and Tillage Mgmt (Reduced Till) (IRA),"Petroleum, Heavy Metals and Other Pollutants Transported to Surface Water",0
Conservation Crop Rotation (IRA),"Petroleum, Heavy Metals and Other Pollutants Transported to Surface Water",0
Wildlife Habitat Planting (IRA),"Petroleum, Heavy Metals and Other Pollutants Transported to Surface Water",0
Pasture and Hay Planting ,"Petroleum, Heavy Metals and Other Pollutants Transported to Surface Water",1
Critical Area Planting (IRA),"Petroleum, Heavy Metals and Other Pollutants Transported to Surface Water",0
Range planting (IRA),"Petroleum, Heavy Metals and Other Pollutants Transported to Surface Water",2
Channel Bed Stabilization ,"Petroleum, Heavy Metals and Other Pollutants Transported to Surface Water",0
Conservation Cover (IRA),"Petroleum, Heavy Metals and Other Pollutants Transported to Surface Water",0
Access Control ,"Petroleum, Heavy Metals and Other Pollutants Transported to Surface Water",1
Wetland Restoration (IRA),"Petroleum, Heavy Metals and Other Pollutants Transported to Surface Water",2
Watering Facility ,"Petroleum, Heavy Metals and Other Pollutants Transported to Surface Water",1
Riparian Forest Buffer (IRA),"Petroleum, Heavy Metals and Other Pollutants Transported to Surface Water",3
Nutrient Management (IRA),"Petroleum, Heavy Metals and Other Pollutants Transported to Surface Water",0
Pest Management Conservation System ,"Petroleum, Heavy Metals and Other Pollutants Transported to Surface Water",0
Structures for Wildlife ,"Petroleum, Heavy Metals and Other Pollutants Transported to Surface Water",0
Stream Crossing ,"Petroleum, Heavy Metals and Other Pollutants Transported to Surface Water",0
Structure for Water Control ,"Petroleum, Heavy Metals and Other Pollutants Transported to Surface Water",0
Stream Habitat Improvement and Management ,"Petroleum, Heavy Metals and Other Pollutants Transported to Surface Water",0
Grade Stabilization Structure ,"Petroleum, Heavy Metals and Other Pollutants Transported to Surface Water",0
Riparian Herbaceous Cover (IRA),"Petroleum, Heavy Metals and Other Pollutants Transported to Surface Water",2
Aquatic Organism Passage ,"Petroleum, Heavy Metals and Other Pollutants Transported to Surface Water",0
Wetland Creation ,"Petroleum, Heavy Metals and Other Pollutants Transported to Surface Water",2
Wetland Enhancement ,"Petroleum, Heavy Metals and Other Pollutants Transported to Surface Water",2
Wetland Wildlife Habitat Management ,"Petroleum, Heavy Metals and Other Pollutants Transported to Surface Water",0
Shallow Water Development and Management ,"Petroleum, Heavy Metals and Other Pollutants Transported to Surface Water",2
Restoration of Rare and Declining Habitats,"Petroleum, Heavy Metals and Other Pollutants Transported to Surface Water",0
Fence ,"Petroleum, Heavy Metals and Other Pollutants Transported to Groundwater",0
Streambank and Shoreline Protection ,"Petroleum, Heavy Metals and Other Pollutants Transported to Groundwater",0
Heavy Use Area Protection ,"Petroleum, Heavy Metals and Other Pollutants Transported to Groundwater",0
Livestock Pipeline ,"Petroleum, Heavy Metals and Other Pollutants Transported to Groundwater",0
Prescribed Grazing (IRA),"Petroleum, Heavy Metals and Other Pollutants Transported to Groundwater",0
Cover Crop (IRA),"Petroleum, Heavy Metals and Other Pollutants Transported to Groundwater",0
Tree/Shrub Establishment (IRA),"Petroleum, Heavy Metals and Other Pollutants Transported to Groundwater",1
Brush Management ,"Petroleum, Heavy Metals and Other Pollutants Transported to Groundwater",0
Dike and Levee ,"Petroleum, Heavy Metals and Other Pollutants Transported to Groundwater",0
Herbaceous Weed Treatment ,"Petroleum, Heavy Metals and Other Pollutants Transported to Groundwater",0
Residue and Tillage Mgmt (No Till) (IRA),"Petroleum, Heavy Metals and Other Pollutants Transported to Groundwater",0
Residue and Tillage Mgmt (Reduced Till) (IRA),"Petroleum, Heavy Metals and Other Pollutants Transported to Groundwater",0
Conservation Crop Rotation (IRA),"Petroleum, Heavy Metals and Other Pollutants Transported to Groundwater",0
Wildlife Habitat Planting (IRA),"Petroleum, Heavy Metals and Other Pollutants Transported to Groundwater",0
Pasture and Hay Planting ,"Petroleum, Heavy Metals and Other Pollutants Transported to Groundwater",0
Critical Area Planting (IRA),"Petroleum, Heavy Metals and Other Pollutants Transported to Groundwater",0
Range planting (IRA),"Petroleum, Heavy Metals and Other Pollutants Transported to Groundwater",1
Channel Bed Stabilization ,"Petroleum, Heavy Metals and Other Pollutants Transported to Groundwater",0
Conservation Cover (IRA),"Petroleum, Heavy Metals and Other Pollutants Transported to Groundwater",0
Access Control ,"Petroleum, Heavy Metals and Other Pollutants Transported to Groundwater",1
Wetland Restoration (IRA),"Petroleum, Heavy Metals and Other Pollutants Transported to Groundwater",0
Watering Facility ,"Petroleum, Heavy Metals and Other Pollutants Transported to Groundwater",0
Riparian Forest Buffer (IRA),"Petroleum, Heavy Metals and Other Pollutants Transported to Groundwater",1
Nutrient Management (IRA),"Petroleum, Heavy Metals and Other Pollutants Transported to Groundwater",0
Pest Management Conservation System ,"Petroleum, Heavy Metals and Other Pollutants Transported to Groundwater",0
Structures for Wildlife ,"Petroleum, Heavy Metals and Other Pollutants Transported to Groundwater",0
Stream Crossing ,"Petroleum, Heavy Metals and Other Pollutants Transported to Groundwater",0
Structure for Water Control ,"Petroleum, Heavy Metals and Other Pollutants Transported to Groundwater",0
Stream Habitat Improvement and Management ,"Petroleum, Heavy Metals and Other Pollutants Transported to Groundwater",0
Grade Stabilization Structure ,"Petroleum, Heavy Metals and Other Pollutants Transported to Groundwater",0
Riparian Herbaceous Cover (IRA),"Petroleum, Heavy Metals and Other Pollutants Transported to Groundwater",1
Aquatic Organism Passage ,"Petroleum, Heavy Metals and Other Pollutants Transported to Groundwater",0
Wetland Creation ,"Petroleum, Heavy Metals and Other Pollutants Transported to Groundwater",0
Wetland Enhancement ,"Petroleum, Heavy Metals and Other Pollutants Transported to Groundwater",0
Wetland Wildlife Habitat Management ,"Petroleum, Heavy Metals and Other Pollutants Transported to Groundwater",0
Shallow Water Development and Management ,"Petroleum, Heavy Metals and Other Pollutants Transported to Groundwater",1
Restoration of Rare and Declining Habitats,"Petroleum, Heavy Metals and Other Pollutants Transported to Groundwater",0
Fence ,Salts Transported to Surface Water,0
Streambank and Shoreline Protection ,Salts Transported to Surface Water,0
Heavy Use Area Protection ,Salts Transported to Surface Water,0
Livestock Pipeline ,Salts Transported to Surface Water,0
Prescribed Grazing (IRA),Salts Transported to Surface Water,2
Cover Crop (IRA),Salts Transported to Surface Water,0
Tree/Shrub Establishment (IRA),Salts Transported to Surface Water,1
Brush Management ,Salts Transported to Surface Water,0
Dike and Levee ,Salts Transported to Surface Water,1
Herbaceous Weed Treatment ,Salts Transported to Surface Water,0
Residue and Tillage Mgmt (No Till) (IRA),Salts Transported to Surface Water,0
Residue and Tillage Mgmt (Reduced Till) (IRA),Salts Transported to Surface Water,1
Conservation Crop Rotation (IRA),Salts Transported to Surface Water,1
Wildlife Habitat Planting (IRA),Salts Transported to Surface Water,1
Pasture and Hay Planting ,Salts Transported to Surface Water,0
Critical Area Planting (IRA),Salts Transported to Surface Water,0
Range planting (IRA),Salts Transported to Surface Water,1
Channel Bed Stabilization ,Salts Transported to Surface Water,0
Conservation Cover (IRA),Salts Transported to Surface Water,2
Access Control ,Salts Transported to Surface Water,0
Wetland Restoration (IRA),Salts Transported to Surface Water,1
Watering Facility ,Salts Transported to Surface Water,1
Riparian Forest Buffer (IRA),Salts Transported to Surface Water,1
Nutrient Management (IRA),Salts Transported to Surface Water,1
Pest Management Conservation System ,Salts Transported to Surface Water,0
Structures for Wildlife ,Salts Transported to Surface Water,0
Stream Crossing ,Salts Transported to Surface Water,0
Structure for Water Control ,Salts Transported to Surface Water,0
Stream Habitat Improvement and Management ,Salts Transported to Surface Water,0
Grade Stabilization Structure ,Salts Transported to Surface Water,0
Riparian Herbaceous Cover (IRA),Salts Transported to Surface Water,1
Aquatic Organism Passage ,Salts Transported to Surface Water,0
Wetland Creation ,Salts Transported to Surface Water,1
Wetland Enhancement ,Salts Transported to Surface Water,1
Wetland Wildlife Habitat Management ,Salts Transported to Surface Water,0
Shallow Water Development and Management ,Salts Transported to Surface Water,0
Restoration of Rare and Declining Habitats,Salts Transported to Surface Water,0
Fence ,Salts Transported to Groundwater,0
Streambank and Shoreline Protection ,Salts Transported to Groundwater,0
Heavy Use Area Protection ,Salts Transported to Groundwater,0
Livestock Pipeline ,Salts Transported to Groundwater,0
Prescribed Grazing (IRA),Salts Transported to Groundwater,1
Cover Crop (IRA),Salts Transported to Groundwater,0
Tree/Shrub Establishment (IRA),Salts Transported to Groundwater,1
Brush Management ,Salts Transported to Groundwater,0
Dike and Levee ,Salts Transported to Groundwater,-1
Herbaceous Weed Treatment ,Salts Transported to Groundwater,0
Residue and Tillage Mgmt (No Till) (IRA),Salts Transported to Groundwater,0
Residue and Tillage Mgmt (Reduced Till) (IRA),Salts Transported to Groundwater,0
Conservation Crop Rotation (IRA),Salts Transported to Groundwater,1
Wildlife Habitat Planting (IRA),Salts Transported to Groundwater,0
Pasture and Hay Planting ,Salts Transported to Groundwater,0
Critical Area Planting (IRA),Salts Transported to Groundwater,0
Range planting (IRA),Salts Transported to Groundwater,1
Channel Bed Stabilization ,Salts Transported to Groundwater,0
Conservation Cover (IRA),Salts Transported to Groundwater,2
Access Control ,Salts Transported to Groundwater,0
Wetland Restoration (IRA),Salts Transported to Groundwater,0
Watering Facility ,Salts Transported to Groundwater,0
Riparian Forest Buffer (IRA),Salts Transported to Groundwater,1
Nutrient Management (IRA),Salts Transported to Groundwater,1
Pest Management Conservation System ,Salts Transported to Groundwater,0
Structures for Wildlife ,Salts Transported to Groundwater,0
Stream Crossing ,Salts Transported to Groundwater,0
Structure for Water Control ,Salts Transported to Groundwater,0
Stream Habitat Improvement and Management ,Salts Transported to Groundwater,0
Grade Stabilization Structure ,Salts Transported to Groundwater,0
Riparian Herbaceous Cover (IRA),Salts Transported to Groundwater,1
Aquatic Organism Passage ,Salts Transported to Groundwater,0
Wetland Creation ,Salts Transported to Groundwater,0
Wetland Enhancement ,Salts Transported to Groundwater,0
Wetland Wildlife Habitat Management ,Salts Transported to Groundwater,0
Shallow Water Development and Management ,Salts Transported to Groundwater,-1
Restoration of Rare and Declining Habitats,Salts Transported to Groundwater,0
Fence ,Elevated water temperature,0
Streambank and Shoreline Protection ,Elevated water temperature,1
Heavy Use Area Protection ,Elevated water temperature,0
Livestock Pipeline ,Elevated water temperature,0
Prescribed Grazing (IRA),Elevated water temperature,1
Cover Crop (IRA),Elevated water temperature,0
Tree/Shrub Establishment (IRA),Elevated water temperature,4
Brush Management ,Elevated water temperature,0
Dike and Levee ,Elevated water temperature,0
Herbaceous Weed Treatment ,Elevated water temperature,0
Residue and Tillage Mgmt (No Till) (IRA),Elevated water temperature,0
Residue and Tillage Mgmt (Reduced Till) (IRA),Elevated water temperature,0
Conservation Crop Rotation (IRA),Elevated water temperature,0
Wildlife Habitat Planting (IRA),Elevated water temperature,4
Pasture and Hay Planting ,Elevated water temperature,0
Critical Area Planting (IRA),Elevated water temperature,0
Range planting (IRA),Elevated water temperature,1
Channel Bed Stabilization ,Elevated water temperature,1
Conservation Cover (IRA),Elevated water temperature,0
Access Control ,Elevated water temperature,3
Wetland Restoration (IRA),Elevated water temperature,0
Watering Facility ,Elevated water temperature,1
Riparian Forest Buffer (IRA),Elevated water temperature,5
Nutrient Management (IRA),Elevated water temperature,0
Pest Management Conservation System ,Elevated water temperature,0
Structures for Wildlife ,Elevated water temperature,0
Stream Crossing ,Elevated water temperature,0
Structure for Water Control ,Elevated water temperature,1
Stream Habitat Improvement and Management ,Elevated water temperature,4
Grade Stabilization Structure ,Elevated water temperature,0
Riparian Herbaceous Cover (IRA),Elevated water temperature,2
Aquatic Organism Passage ,Elevated water temperature,3
Wetland Creation ,Elevated water temperature,0
Wetland Enhancement ,Elevated water temperature,0
Wetland Wildlife Habitat Management ,Elevated water temperature,0
Shallow Water Development and Management ,Elevated water temperature,0
Restoration of Rare and Declining Habitats,Elevated water temperature,2
Fence ,Emissions of Particulate Matter (PM) and PM Precursors,0
Streambank and Shoreline Protection ,Emissions of Particulate Matter (PM) and PM Precursors,0
Heavy Use Area Protection ,Emissions of Particulate Matter (PM) and PM Precursors,2
Livestock Pipeline ,Emissions of Particulate Matter (PM) and PM Precursors,0
Prescribed Grazing (IRA),Emissions of Particulate Matter (PM) and PM Precursors,2
Cover Crop (IRA),Emissions of Particulate Matter (PM) and PM Precursors,3
Tree/Shrub Establishment (IRA),Emissions of Particulate Matter (PM) and PM Precursors,1
Brush Management ,Emissions of Particulate Matter (PM) and PM Precursors,0
Dike and Levee ,Emissions of Particulate Matter (PM) and PM Precursors,0
Herbaceous Weed Treatment ,Emissions of Particulate Matter (PM) and PM Precursors,0
Residue and Tillage Mgmt (No Till) (IRA),Emissions of Particulate Matter (PM) and PM Precursors,5
Residue and Tillage Mgmt (Reduced Till) (IRA),Emissions of Particulate Matter (PM) and PM Precursors,4
Conservation Crop Rotation (IRA),Emissions of Particulate Matter (PM) and PM Precursors,1
Wildlife Habitat Planting (IRA),Emissions of Particulate Matter (PM) and PM Precursors,0
Pasture and Hay Planting ,Emissions of Particulate Matter (PM) and PM Precursors,3
Critical Area Planting (IRA),Emissions of Particulate Matter (PM) and PM Precursors,4
Range planting (IRA),Emissions of Particulate Matter (PM) and PM Precursors,3
Channel Bed Stabilization ,Emissions of Particulate Matter (PM) and PM Precursors,0
Conservation Cover (IRA),Emissions of Particulate Matter (PM) and PM Precursors,4
Access Control ,Emissions of Particulate Matter (PM) and PM Precursors,2
Wetland Restoration (IRA),Emissions of Particulate Matter (PM) and PM Precursors,0
Watering Facility ,Emissions of Particulate Matter (PM) and PM Precursors,0
Riparian Forest Buffer (IRA),Emissions of Particulate Matter (PM) and PM Precursors,1
Nutrient Management (IRA),Emissions of Particulate Matter (PM) and PM Precursors,2
Pest Management Conservation System ,Emissions of Particulate Matter (PM) and PM Precursors,2
Structures for Wildlife ,Emissions of Particulate Matter (PM) and PM Precursors,0
Stream Crossing ,Emissions of Particulate Matter (PM) and PM Precursors,0
Structure for Water Control ,Emissions of Particulate Matter (PM) and PM Precursors,0
Stream Habitat Improvement and Management ,Emissions of Particulate Matter (PM) and PM Precursors,0
Grade Stabilization Structure ,Emissions of Particulate Matter (PM) and PM Precursors,0
Riparian Herbaceous Cover (IRA),Emissions of Particulate Matter (PM) and PM Precursors,1
Aquatic Organism Passage ,Emissions of Particulate Matter (PM) and PM Precursors,0
Wetland Creation ,Emissions of Particulate Matter (PM) and PM Precursors,0
Wetland Enhancement ,Emissions of Particulate Matter (PM) and PM Precursors,0
Wetland Wildlife Habitat Management ,Emissions of Particulate Matter (PM) and PM Precursors,0
Shallow Water Development and Management ,Emissions of Particulate Matter (PM) and PM Precursors,0
Restoration of Rare and Declining Habitats,Emissions of Particulate Matter (PM) and PM Precursors,0
Fence ,Emissions of Greenhouse Gasses - GHGs,1
Streambank and Shoreline Protection ,Emissions of Greenhouse Gasses - GHGs,1
Heavy Use Area Protection ,Emissions of Greenhouse Gasses - GHGs,0
Livestock Pipeline ,Emissions of Greenhouse Gasses - GHGs,2
Prescribed Grazing (IRA),Emissions of Greenhouse Gasses - GHGs,2
Cover Crop (IRA),Emissions of Greenhouse Gasses - GHGs,2
Tree/Shrub Establishment (IRA),Emissions of Greenhouse Gasses - GHGs,4
Brush Management ,Emissions of Greenhouse Gasses - GHGs,1
Dike and Levee ,Emissions of Greenhouse Gasses - GHGs,0
Herbaceous Weed Treatment ,Emissions of Greenhouse Gasses - GHGs,1
Residue and Tillage Mgmt (No Till) (IRA),Emissions of Greenhouse Gasses - GHGs,3
Residue and Tillage Mgmt (Reduced Till) (IRA),Emissions of Greenhouse Gasses - GHGs,3
Conservation Crop Rotation (IRA),Emissions of Greenhouse Gasses - GHGs,1
Wildlife Habitat Planting (IRA),Emissions of Greenhouse Gasses - GHGs,3
Pasture and Hay Planting ,Emissions of Greenhouse Gasses - GHGs,4
Critical Area Planting (IRA),Emissions of Greenhouse Gasses - GHGs,2
Range planting (IRA),Emissions of Greenhouse Gasses - GHGs,3
Channel Bed Stabilization ,Emissions of Greenhouse Gasses - GHGs,0
Conservation Cover (IRA),Emissions of Greenhouse Gasses - GHGs,4
Access Control ,Emissions of Greenhouse Gasses - GHGs,1
Wetland Restoration (IRA),Emissions of Greenhouse Gasses - GHGs,3
Watering Facility ,Emissions of Greenhouse Gasses - GHGs,0
Riparian Forest Buffer (IRA),Emissions of Greenhouse Gasses - GHGs,3
Nutrient Management (IRA),Emissions of Greenhouse Gasses - GHGs,3
Pest Management Conservation System ,Emissions of Greenhouse Gasses - GHGs,0
Structures for Wildlife ,Emissions of Greenhouse Gasses - GHGs,0
Stream Crossing ,Emissions of Greenhouse Gasses - GHGs,0
Structure for Water Control ,Emissions of Greenhouse Gasses - GHGs,0
Stream Habitat Improvement and Management ,Emissions of Greenhouse Gasses - GHGs,1
Grade Stabilization Structure ,Emissions of Greenhouse Gasses - GHGs,0
Riparian Herbaceous Cover (IRA),Emissions of Greenhouse Gasses - GHGs,2
Aquatic Organism Passage ,Emissions of Greenhouse Gasses - GHGs,0
Wetland Creation ,Emissions of Greenhouse Gasses - GHGs,3
Wetland Enhancement ,Emissions of Greenhouse Gasses - GHGs,1
Wetland Wildlife Habitat Management ,Emissions of Greenhouse Gasses - GHGs,0
Shallow Water Development and Management ,Emissions of Greenhouse Gasses - GHGs,0
Restoration of Rare and Declining Habitats,Emissions of Greenhouse Gasses - GHGs,1
Fence ,Emissions of Ozone Precursors,0
Streambank and Shoreline Protection ,Emissions of Ozone Precursors,0
Heavy Use Area Protection ,Emissions of Ozone Precursors,0
Livestock Pipeline ,Emissions of Ozone Precursors,0
Prescribed Grazing (IRA),Emissions of Ozone Precursors,0
Cover Crop (IRA),Emissions of Ozone Precursors,0
Tree/Shrub Establishment (IRA),Emissions of Ozone Precursors,0
Brush Management ,Emissions of Ozone Precursors,0
Dike and Levee ,Emissions of Ozone Precursors,0
Herbaceous Weed Treatment ,Emissions of Ozone Precursors,0
Residue and Tillage Mgmt (No Till) (IRA),Emissions of Ozone Precursors,3
Residue and Tillage Mgmt (Reduced Till) (IRA),Emissions of Ozone Precursors,1
Conservation Crop Rotation (IRA),Emissions of Ozone Precursors,0
Wildlife Habitat Planting (IRA),Emissions of Ozone Precursors,0
Pasture and Hay Planting ,Emissions of Ozone Precursors,0
Critical Area Planting (IRA),Emissions of Ozone Precursors,0
Range planting (IRA),Emissions of Ozone Precursors,0
Channel Bed Stabilization ,Emissions of Ozone Precursors,0
Conservation Cover (IRA),Emissions of Ozone Precursors,1
Access Control ,Emissions of Ozone Precursors,1
Wetland Restoration (IRA),Emissions of Ozone Precursors,0
Watering Facility ,Emissions of Ozone Precursors,0
Riparian Forest Buffer (IRA),Emissions of Ozone Precursors,0
Nutrient Management (IRA),Emissions of Ozone Precursors,2
Pest Management Conservation System ,Emissions of Ozone Precursors,2
Structures for Wildlife ,Emissions of Ozone Precursors,0
Stream Crossing ,Emissions of Ozone Precursors,0
Structure for Water Control ,Emissions of Ozone Precursors,0
Stream Habitat Improvement and Management ,Emissions of Ozone Precursors,0
Grade Stabilization Structure ,Emissions of Ozone Precursors,0
Riparian Herbaceous Cover (IRA),Emissions of Ozone Precursors,0
Aquatic Organism Passage ,Emissions of Ozone Precursors,0
Wetland Creation ,Emissions of Ozone Precursors,0
Wetland Enhancement ,Emissions of Ozone Precursors,0
Wetland Wildlife Habitat Management ,Emissions of Ozone Precursors,0
Shallow Water Development and Management ,Emissions of Ozone Precursors,0
Restoration of Rare and Declining Habitats,Emissions of Ozone Precursors,0
Fence ,Objectionable Odor,0
Streambank and Shoreline Protection ,Objectionable Odor,0
Heavy Use Area Protection ,Objectionable Odor,0
Livestock Pipeline ,Objectionable Odor,0
Prescribed Grazing (IRA),Objectionable Odor,1
Cover Crop (IRA),Objectionable Odor,0
Tree/Shrub Establishment (IRA),Objectionable Odor,2
Brush Management ,Objectionable Odor,0
Dike and Levee ,Objectionable Odor,0
Herbaceous Weed Treatment ,Objectionable Odor,0
Residue and Tillage Mgmt (No Till) (IRA),Objectionable Odor,0
Residue and Tillage Mgmt (Reduced Till) (IRA),Objectionable Odor,0
Conservation Crop Rotation (IRA),Objectionable Odor,0
Wildlife Habitat Planting (IRA),Objectionable Odor,0
Pasture and Hay Planting ,Objectionable Odor,0
Critical Area Planting (IRA),Objectionable Odor,0
Range planting (IRA),Objectionable Odor,0
Channel Bed Stabilization ,Objectionable Odor,0
Conservation Cover (IRA),Objectionable Odor,0
Access Control ,Objectionable Odor,0
Wetland Restoration (IRA),Objectionable Odor,-1
Watering Facility ,Objectionable Odor,0
Riparian Forest Buffer (IRA),Objectionable Odor,1
Nutrient Management (IRA),Objectionable Odor,2
Pest Management Conservation System ,Objectionable Odor,1
Structures for Wildlife ,Objectionable Odor,0
Stream Crossing ,Objectionable Odor,0
Structure for Water Control ,Objectionable Odor,0
Stream Habitat Improvement and Management ,Objectionable Odor,0
Grade Stabilization Structure ,Objectionable Odor,0
Riparian Herbaceous Cover (IRA),Objectionable Odor,0
Aquatic Organism Passage ,Objectionable Odor,0
Wetland Creation ,Objectionable Odor,-1
Wetland Enhancement ,Objectionable Odor,-1
Wetland Wildlife Habitat Management ,Objectionable Odor,-1
Shallow Water Development and Management ,Objectionable Odor,0
Restoration of Rare and Declining Habitats,Objectionable Odor,0
Fence ,Emissions of Airborne Reactive Nitrogen,0
Streambank and Shoreline Protection ,Emissions of Airborne Reactive Nitrogen,0
Heavy Use Area Protection ,Emissions of Airborne Reactive Nitrogen,0
Livestock Pipeline ,Emissions of Airborne Reactive Nitrogen,0
Prescribed Grazing (IRA),Emissions of Airborne Reactive Nitrogen,0
Cover Crop (IRA),Emissions of Airborne Reactive Nitrogen,1
Tree/Shrub Establishment (IRA),Emissions of Airborne Reactive Nitrogen,0
Brush Management ,Emissions of Airborne Reactive Nitrogen,0
Dike and Levee ,Emissions of Airborne Reactive Nitrogen,0
Herbaceous Weed Treatment ,Emissions of Airborne Reactive Nitrogen,0
Residue and Tillage Mgmt (No Till) (IRA),Emissions of Airborne Reactive Nitrogen,2
Residue and Tillage Mgmt (Reduced Till) (IRA),Emissions of Airborne Reactive Nitrogen,1
Conservation Crop Rotation (IRA),Emissions of Airborne Reactive Nitrogen,0
Wildlife Habitat Planting (IRA),Emissions of Airborne Reactive Nitrogen,0
Pasture and Hay Planting ,Emissions of Airborne Reactive Nitrogen,0
Critical Area Planting (IRA),Emissions of Airborne Reactive Nitrogen,0
Range planting (IRA),Emissions of Airborne Reactive Nitrogen,0
Channel Bed Stabilization ,Emissions of Airborne Reactive Nitrogen,0
Conservation Cover (IRA),Emissions of Airborne Reactive Nitrogen,1
Access Control ,Emissions of Airborne Reactive Nitrogen,0
Wetland Restoration (IRA),Emissions of Airborne Reactive Nitrogen,0
Watering Facility ,Emissions of Airborne Reactive Nitrogen,0
Riparian Forest Buffer (IRA),Emissions of Airborne Reactive Nitrogen,0
Nutrient Management (IRA),Emissions of Airborne Reactive Nitrogen,3
Pest Management Conservation System ,Emissions of Airborne Reactive Nitrogen,0
Structures for Wildlife ,Emissions of Airborne Reactive Nitrogen,0
Stream Crossing ,Emissions of Airborne Reactive Nitrogen,0
Structure for Water Control ,Emissions of Airborne Reactive Nitrogen,0
Stream Habitat Improvement and Management ,Emissions of Airborne Reactive Nitrogen,0
Grade Stabilization Structure ,Emissions of Airborne Reactive Nitrogen,0
Riparian Herbaceous Cover (IRA),Emissions of Airborne Reactive Nitrogen,0
Aquatic Organism Passage ,Emissions of Airborne Reactive Nitrogen,0
Wetland Creation ,Emissions of Airborne Reactive Nitrogen,0
Wetland Enhancement ,Emissions of Airborne Reactive Nitrogen,0
Wetland Wildlife Habitat Management ,Emissions of Airborne Reactive Nitrogen,0
Shallow Water Development and Management ,Emissions of Airborne Reactive Nitrogen,0
Restoration of Rare and Declining Habitats,Emissions of Airborne Reactive Nitrogen,0
Fence ,Plant Pest Pressure,0
Streambank and Shoreline Protection ,Plant Pest Pressure,4
Heavy Use Area Protection ,Plant Pest Pressure,0
Livestock Pipeline ,Plant Pest Pressure,0
Prescribed Grazing (IRA),Plant Pest Pressure,2
Cover Crop (IRA),Plant Pest Pressure,4
Tree/Shrub Establishment (IRA),Plant Pest Pressure,5
Brush Management ,Plant Pest Pressure,5
Dike and Levee ,Plant Pest Pressure,0
Herbaceous Weed Treatment ,Plant Pest Pressure,5
Residue and Tillage Mgmt (No Till) (IRA),Plant Pest Pressure,0
Residue and Tillage Mgmt (Reduced Till) (IRA),Plant Pest Pressure,0
Conservation Crop Rotation (IRA),Plant Pest Pressure,3
Wildlife Habitat Planting (IRA),Plant Pest Pressure,0
Pasture and Hay Planting ,Plant Pest Pressure,0
Critical Area Planting (IRA),Plant Pest Pressure,4
Range planting (IRA),Plant Pest Pressure,4
Channel Bed Stabilization ,Plant Pest Pressure,4
Conservation Cover (IRA),Plant Pest Pressure,4
Access Control ,Plant Pest Pressure,5
Wetland Restoration (IRA),Plant Pest Pressure,4
Watering Facility ,Plant Pest Pressure,0
Riparian Forest Buffer (IRA),Plant Pest Pressure,3
Nutrient Management (IRA),Plant Pest Pressure,0
Pest Management Conservation System ,Plant Pest Pressure,4
Structures for Wildlife ,Plant Pest Pressure,0
Stream Crossing ,Plant Pest Pressure,0
Structure for Water Control ,Plant Pest Pressure,0
Stream Habitat Improvement and Management ,Plant Pest Pressure,4
Grade Stabilization Structure ,Plant Pest Pressure,0
Riparian Herbaceous Cover (IRA),Plant Pest Pressure,4
Aquatic Organism Passage ,Plant Pest Pressure,0
Wetland Creation ,Plant Pest Pressure,4
Wetland Enhancement ,Plant Pest Pressure,4
Wetland Wildlife Habitat Management ,Plant Pest Pressure,4
Shallow Water Development and Management ,Plant Pest Pressure,1
